"DAY","AMP1","AMP2","AMP3","AMP4"
1,-3.017874394,-2.035748788,-1.053623182,-0.071497577
2,-3.02125992,-2.04251984,-1.06377976,-0.08503968
3,-3.024935468,-2.049870935,-1.074806403,-0.099741871
4,-3.028899948,-2.057799896,-1.086699844,-0.115599792
5,-3.033152186,-2.066304373,-1.099456559,-0.132608746
6,-3.037690923,-2.075381845,-1.113072768,-0.15076369
7,-3.042514812,-2.085029623,-1.127544435,-0.170059247
8,-3.047622424,-2.095244849,-1.142867273,-0.190489697
9,-3.053012247,-2.106024494,-1.159036741,-0.212048988
10,-3.058682682,-2.117365365,-1.176048047,-0.23473073
11,-3.064632051,-2.129264101,-1.193896152,-0.258528203
12,-3.070858589,-2.141717177,-1.212575766,-0.283434354
13,-3.077360451,-2.154720902,-1.232081353,-0.309441805
14,-3.084135712,-2.168271423,-1.252407135,-0.336542847
15,-3.091182363,-2.182364725,-1.273547088,-0.364729451
16,-3.098498316,-2.196996632,-1.295494948,-0.393993263
17,-3.106081403,-2.212162807,-1.31824421,-0.424325614
18,-3.113929378,-2.227858757,-1.341788135,-0.455717514
19,-3.122039915,-2.244079831,-1.366119746,-0.488159661
20,-3.130410611,-2.260821221,-1.391231832,-0.521642443
21,-3.139038984,-2.278077968,-1.417116952,-0.556155936
22,-3.147922479,-2.295844958,-1.443767437,-0.591689916
23,-3.157058463,-2.314116925,-1.471175388,-0.628233851
24,-3.166444228,-2.332888456,-1.499332684,-0.665776913
25,-3.176076994,-2.352153988,-1.528230983,-0.704307977
26,-3.185953906,-2.371907813,-1.557861719,-0.743815626
27,-3.196072038,-2.392144076,-1.588216115,-0.784288153
28,-3.206428391,-2.412856782,-1.619285173,-0.825713564
29,-3.217019896,-2.434039793,-1.651059689,-0.868079585
30,-3.227843416,-2.455686831,-1.683530247,-0.911373662
31,-3.238895741,-2.477791483,-1.716687224,-0.955582965
32,-3.250173599,-2.500347198,-1.750520796,-1.000694395
33,-3.261673646,-2.523347292,-1.785020938,-1.046694584
34,-3.273392475,-2.54678495,-1.820177426,-1.093569901
35,-3.285326614,-2.570653228,-1.855979842,-1.141306456
36,-3.297472526,-2.594945052,-1.892417577,-1.189890103
37,-3.309826612,-2.619653224,-1.929479835,-1.239306447
38,-3.322385211,-2.644770422,-1.967155633,-1.289540844
39,-3.335144602,-2.670289204,-2.005433806,-1.340578408
40,-3.348101004,-2.696202008,-2.044303012,-1.392404016
41,-3.361250578,-2.722501156,-2.083751734,-1.445002312
42,-3.374589427,-2.749178854,-2.123768281,-1.498357708
43,-3.388113599,-2.776227197,-2.164340796,-1.552454395
44,-3.401819086,-2.803638171,-2.205457257,-1.607276342
45,-3.415701826,-2.831403653,-2.247105479,-1.662807305
46,-3.429757707,-2.859515415,-2.289273122,-1.719030829
47,-3.443982563,-2.887965127,-2.33194769,-1.775930253
48,-3.458372179,-2.916744359,-2.375116538,-1.833488717
49,-3.472922291,-2.945844583,-2.418766874,-1.891689165
50,-3.487628588,-2.975257176,-2.462885764,-1.950514351
51,-3.502486711,-3.004973422,-2.507460133,-2.009946844
52,-3.517492258,-3.034984516,-2.552476775,-2.069969033
53,-3.532640783,-3.065281566,-2.597922349,-2.130563131
54,-3.547927796,-3.095855592,-2.643783388,-2.191711184
55,-3.563348768,-3.126697536,-2.690046304,-2.253395072
56,-3.578899129,-3.157798258,-2.736697388,-2.315596517
57,-3.594574272,-3.189148543,-2.783722815,-2.378297087
58,-3.61036955,-3.220739101,-2.831108651,-2.441478202
59,-3.626280285,-3.25256057,-2.878840856,-2.505121141
60,-3.642301761,-3.284603522,-2.926905284,-2.569207045
61,-3.658429231,-3.316858462,-2.975287692,-2.633716923
62,-3.674657915,-3.349315831,-3.023973746,-2.698631661
63,-3.690983006,-3.381966011,-3.072949017,-2.763932023
64,-3.707399664,-3.414799329,-3.122198993,-2.829598657
65,-3.723903027,-3.447806054,-3.171709081,-2.895612108
66,-3.740488203,-3.480976406,-3.221464609,-2.961952812
67,-3.757150278,-3.514300556,-3.271450834,-3.028601112
68,-3.773884314,-3.547768629,-3.321652943,-3.095537258
69,-3.790685354,-3.581370708,-3.372056062,-3.162741416
70,-3.807548418,-3.615096836,-3.422645254,-3.230193672
71,-3.82446851,-3.648937019,-3.473405529,-3.297874038
72,-3.841440615,-3.68288123,-3.524321845,-3.36576246
73,-3.858459705,-3.71691941,-3.575379114,-3.433838819
74,-3.875520736,-3.751041472,-3.626562208,-3.502082944
75,-3.892618653,-3.785237307,-3.67785596,-3.570474613
76,-3.90974839,-3.81949678,-3.72924517,-3.63899356
77,-3.92690487,-3.85380974,-3.78071461,-3.70761948
78,-3.94408301,-3.88816602,-3.83224903,-3.77633204
79,-3.961277719,-3.922555438,-3.883833157,-3.845110876
80,-3.978483903,-3.956967805,-3.935451708,-3.91393561
81,-3.995696462,-3.991392923,-3.987089385,-3.982785847
82,-4.012910296,-4.025820592,-4.038730888,-4.051641184
83,-4.030120305,-4.06024061,-4.090360915,-4.120481219
84,-4.047321388,-4.094642777,-4.141964165,-4.189285553
85,-4.064508449,-4.129016899,-4.193525348,-4.258033798
86,-4.081676395,-4.163352791,-4.245029186,-4.326705581
87,-4.098820139,-4.197640277,-4.296460416,-4.395280555
88,-4.1159346,-4.231869199,-4.347803799,-4.463738398
89,-4.133014707,-4.266029413,-4.39904412,-4.532058826
90,-4.150055398,-4.300110797,-4.450166195,-4.600221593
91,-4.167051626,-4.334103251,-4.501154877,-4.668206502
92,-4.183998352,-4.367996703,-4.551995055,-4.735993407
93,-4.200890555,-4.40178111,-4.602671665,-4.803562221
94,-4.21772323,-4.435446461,-4.653169691,-4.870892922
95,-4.23449139,-4.468982779,-4.703474169,-4.937965558
96,-4.251190064,-4.502380128,-4.753570192,-5.004760256
97,-4.267814305,-4.53562861,-4.803442915,-5.071257221
98,-4.284359187,-4.568718375,-4.853077562,-5.137436749
99,-4.300819808,-4.601639615,-4.902459423,-5.203279231
100,-4.317191289,-4.634382577,-4.951573866,-5.268765154
101,-4.333468779,-4.666937558,-5.000406337,-5.333875116
102,-4.349647455,-4.699294911,-5.048942366,-5.398589821
103,-4.365722523,-4.731445047,-5.09716757,-5.462890094
104,-4.38168922,-4.763378441,-5.145067661,-5.526756881
105,-4.397542814,-4.795085629,-5.192628443,-5.590171257
106,-4.413278608,-4.826557216,-5.239835823,-5.653114431
107,-4.428891938,-4.857783876,-5.286675814,-5.715567752
108,-4.444378178,-4.888756356,-5.333134534,-5.777512712
109,-4.459732739,-4.919465479,-5.379198218,-5.838930958
110,-4.474951072,-4.949902144,-5.424853216,-5.899804288
111,-4.490028666,-4.980057333,-5.470085999,-5.960114666
112,-4.504961055,-5.009922109,-5.514883164,-6.019844219
113,-4.519743812,-5.039487624,-5.559231436,-6.078975249
114,-4.534372558,-5.068745117,-5.603117675,-6.137490233
115,-4.548842958,-5.097685917,-5.646528875,-6.195371833
116,-4.563150724,-5.126301449,-5.689452173,-6.252602897
117,-4.577291617,-5.154583233,-5.73187485,-6.309166466
118,-4.591261445,-5.18252289,-5.773784335,-6.365045779
119,-4.60505607,-5.210112139,-5.815168209,-6.420224279
120,-4.618671403,-5.237342807,-5.85601421,-6.474685613
121,-4.632103411,-5.264206822,-5.896310234,-6.528413645
122,-4.645348113,-5.290696226,-5.93604434,-6.581392453
123,-4.658401585,-5.316803169,-5.975204754,-6.633606339
124,-4.671259958,-5.342519915,-6.013779873,-6.68503983
125,-4.683919422,-5.367838843,-6.051758265,-6.735677686
126,-4.696376226,-5.392752451,-6.089128677,-6.785504902
127,-4.708626678,-5.417253357,-6.125880035,-6.834506713
128,-4.72066715,-5.441334299,-6.162001449,-6.882668598
129,-4.732494072,-5.464988143,-6.197482215,-6.929976286
130,-4.74410394,-5.48820788,-6.23231182,-6.976415759
131,-4.755493314,-5.510986628,-6.266479942,-7.021973256
132,-4.766658819,-5.533317639,-6.299976458,-7.066635277
133,-4.777597147,-5.555194294,-6.332791441,-7.110388588
134,-4.788305056,-5.576610112,-6.364915167,-7.153220223
135,-4.798779373,-5.597558746,-6.396338119,-7.195117492
136,-4.809016994,-5.618033989,-6.427050983,-7.236067977
137,-4.819014887,-5.638029773,-6.45704466,-7.276059547
138,-4.828770087,-5.657540174,-6.486310262,-7.315080349
139,-4.838279705,-5.67655941,-6.514839116,-7.353118821
140,-4.847540923,-5.695081846,-6.542622769,-7.390163692
141,-4.856550996,-5.713101992,-6.569652988,-7.426203984
142,-4.865307254,-5.730614509,-6.595921763,-7.461229017
143,-4.873807104,-5.747614207,-6.621421311,-7.495228414
144,-4.882048025,-5.76409605,-6.646144075,-7.5281921
145,-4.890027576,-5.780055153,-6.670082729,-7.560110306
146,-4.897743394,-5.795486787,-6.693230181,-7.590973574
147,-4.90519319,-5.81038638,-6.71557957,-7.62077276
148,-4.912374758,-5.824749516,-6.737124274,-7.649499032
149,-4.91928597,-5.838571939,-6.757857909,-7.677143879
150,-4.925924777,-5.851849554,-6.777774332,-7.703699109
151,-4.932289213,-5.864578426,-6.79686764,-7.729156853
152,-4.938377392,-5.876754783,-6.815132175,-7.753509567
153,-4.944187509,-5.888375018,-6.832562527,-7.776750035
154,-4.949717843,-5.899435686,-6.849153528,-7.798871371
155,-4.954966755,-5.90993351,-6.864900265,-7.819867019
156,-4.95993269,-5.919865379,-6.879798069,-7.839730759
157,-4.964614176,-5.929228351,-6.893842527,-7.858456703
158,-4.969009826,-5.938019651,-6.907029477,-7.876039303
159,-4.973118337,-5.946236674,-6.919355012,-7.892473349
160,-4.976938493,-5.953876986,-6.930815478,-7.907753971
161,-4.98046916,-5.960938321,-6.941407481,-7.921876641
162,-4.983709294,-5.967418588,-6.951127881,-7.934837175
163,-4.986657933,-5.973315866,-6.959973799,-7.946631732
164,-4.989314204,-5.978628408,-6.967942612,-7.957256816
165,-4.99167732,-5.98335464,-6.97503196,-7.96670928
166,-4.99374658,-5.987493161,-6.981239741,-7.974986322
167,-4.995521372,-5.991042745,-6.986564117,-7.98208549
168,-4.99700117,-5.99400234,-6.99100351,-7.98800468
169,-4.998185534,-5.996371069,-6.994556603,-7.992742138
170,-4.999074115,-5.99814823,-6.997222345,-7.99629646
171,-4.999666649,-5.999333297,-6.998999946,-7.998666594
172,-4.999962959,-5.999925918,-6.999888877,-7.999851836
173,-4.999962959,-5.999925918,-6.999888877,-7.999851836
174,-4.999666649,-5.999333297,-6.998999946,-7.998666594
175,-4.999074115,-5.99814823,-6.997222345,-7.99629646
176,-4.998185534,-5.996371069,-6.994556603,-7.992742138
177,-4.99700117,-5.99400234,-6.99100351,-7.98800468
178,-4.995521372,-5.991042745,-6.986564117,-7.98208549
179,-4.99374658,-5.987493161,-6.981239741,-7.974986322
180,-4.99167732,-5.98335464,-6.97503196,-7.96670928
181,-4.989314204,-5.978628408,-6.967942612,-7.957256816
182,-4.986657933,-5.973315866,-6.959973799,-7.946631732
183,-4.983709294,-5.967418588,-6.951127881,-7.934837175
184,-4.98046916,-5.960938321,-6.941407481,-7.921876641
185,-4.976938493,-5.953876986,-6.930815478,-7.907753971
186,-4.973118337,-5.946236674,-6.919355012,-7.892473349
187,-4.969009826,-5.938019651,-6.907029477,-7.876039303
188,-4.964614176,-5.929228351,-6.893842527,-7.858456703
189,-4.95993269,-5.919865379,-6.879798069,-7.839730759
190,-4.954966755,-5.90993351,-6.864900265,-7.819867019
191,-4.949717843,-5.899435686,-6.849153528,-7.798871371
192,-4.944187509,-5.888375018,-6.832562527,-7.776750035
193,-4.938377392,-5.876754783,-6.815132175,-7.753509567
194,-4.932289213,-5.864578426,-6.79686764,-7.729156853
195,-4.925924777,-5.851849554,-6.777774332,-7.703699109
196,-4.91928597,-5.838571939,-6.757857909,-7.677143879
197,-4.912374758,-5.824749516,-6.737124274,-7.649499032
198,-4.90519319,-5.81038638,-6.71557957,-7.62077276
199,-4.897743394,-5.795486787,-6.693230181,-7.590973574
200,-4.890027576,-5.780055153,-6.670082729,-7.560110306
201,-4.882048025,-5.76409605,-6.646144075,-7.5281921
202,-4.873807104,-5.747614207,-6.621421311,-7.495228414
203,-4.865307254,-5.730614509,-6.595921763,-7.461229017
204,-4.856550996,-5.713101992,-6.569652988,-7.426203984
205,-4.847540923,-5.695081846,-6.542622769,-7.390163692
206,-4.838279705,-5.67655941,-6.514839116,-7.353118821
207,-4.828770087,-5.657540174,-6.486310262,-7.315080349
208,-4.819014887,-5.638029773,-6.45704466,-7.276059547
209,-4.809016994,-5.618033989,-6.427050983,-7.236067977
210,-4.798779373,-5.597558746,-6.396338119,-7.195117492
211,-4.788305056,-5.576610112,-6.364915167,-7.153220223
212,-4.777597147,-5.555194294,-6.332791441,-7.110388588
213,-4.766658819,-5.533317639,-6.299976458,-7.066635277
214,-4.755493314,-5.510986628,-6.266479942,-7.021973256
215,-4.74410394,-5.48820788,-6.23231182,-6.976415759
216,-4.732494072,-5.464988143,-6.197482215,-6.929976286
217,-4.72066715,-5.441334299,-6.162001449,-6.882668598
218,-4.708626678,-5.417253357,-6.125880035,-6.834506713
219,-4.696376226,-5.392752451,-6.089128677,-6.785504902
220,-4.683919422,-5.367838843,-6.051758265,-6.735677686
221,-4.671259958,-5.342519915,-6.013779873,-6.68503983
222,-4.658401585,-5.316803169,-5.975204754,-6.633606339
223,-4.645348113,-5.290696226,-5.93604434,-6.581392453
224,-4.632103411,-5.264206822,-5.896310234,-6.528413645
225,-4.618671403,-5.237342807,-5.85601421,-6.474685613
226,-4.60505607,-5.210112139,-5.815168209,-6.420224279
227,-4.591261445,-5.18252289,-5.773784335,-6.365045779
228,-4.577291617,-5.154583233,-5.73187485,-6.309166466
229,-4.563150724,-5.126301449,-5.689452173,-6.252602897
230,-4.548842958,-5.097685917,-5.646528875,-6.195371833
231,-4.534372558,-5.068745117,-5.603117675,-6.137490233
232,-4.519743812,-5.039487624,-5.559231436,-6.078975249
233,-4.504961055,-5.009922109,-5.514883164,-6.019844219
234,-4.490028666,-4.980057333,-5.470085999,-5.960114666
235,-4.474951072,-4.949902144,-5.424853216,-5.899804288
236,-4.459732739,-4.919465479,-5.379198218,-5.838930958
237,-4.444378178,-4.888756356,-5.333134534,-5.777512712
238,-4.428891938,-4.857783876,-5.286675814,-5.715567752
239,-4.413278608,-4.826557216,-5.239835823,-5.653114431
240,-4.397542814,-4.795085629,-5.192628443,-5.590171257
241,-4.38168922,-4.763378441,-5.145067661,-5.526756881
242,-4.365722523,-4.731445047,-5.09716757,-5.462890094
243,-4.349647455,-4.699294911,-5.048942366,-5.398589821
244,-4.333468779,-4.666937558,-5.000406337,-5.333875116
245,-4.317191289,-4.634382577,-4.951573866,-5.268765154
246,-4.300819808,-4.601639615,-4.902459423,-5.203279231
247,-4.284359187,-4.568718375,-4.853077562,-5.137436749
248,-4.267814305,-4.53562861,-4.803442915,-5.071257221
249,-4.251190064,-4.502380128,-4.753570192,-5.004760256
250,-4.23449139,-4.468982779,-4.703474169,-4.937965558
